time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,node_ids
0.0,0.3000000119209289,147.0,24.45630645751953,1.439271092414856,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0063302856869995,-0.0196259878575801,0.0068621532991528,0.0815802614204585,0.1151794223673641,-9.78930962741375,1188161.0
0.1,0.3000000119209289,137.0,24.45881080627441,1.4710781574249268,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0048338137567043,-0.0019487336976453,0.0003857902192976,0.1234389342460781,0.0754570937342941,-9.810847846269608,1188161.0
0.3,0.3000000119209289,120.0,24.461315155029297,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0168704837560653,-0.0252284780144691,0.0293283034116029,0.1253429338429123,0.0298611273430287,-9.80825811445713,1188161.0
0.4,0.3000000119209289,113.0,24.46381950378418,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0005261682672426,0.0173442866653203,0.0044388785026967,0.1125898001901805,0.0658577517746016,-9.813019502162934,1188161.0
0.6,0.3000000119209289,100.0,24.461315155029297,1.4710781574249268,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0289476439356803,-0.0147355105727911,-0.0018159091705456,0.1189531148504466,0.0944817042164504,-9.792824388742448,1188161.0
0.7,0.3000000119209289,94.0,24.44378662109375,1.4631264209747314,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0065330993384122,-0.0034541587810963,0.0023855087347328,0.1041834318358451,0.028908634185791,-9.80933575630188,1188161.0
0.91,0.3000000119209289,85.0,24.45881080627441,1.4710781574249268,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0114178955554962,0.0014824622776359,-0.0021341489627957,0.1394754804857075,0.0496066949469968,-9.798689146041871,1188161.0
1.01,0.3000000119209289,81.0,24.457557678222656,1.4710781574249268,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0097965812310576,0.0189415700733661,0.0078034652397036,0.1143313385546207,0.0800168621353805,-9.802586899995806,1188161.0
1.21,0.3000000119209289,76.0,24.46381950378418,1.5505958795547483,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0056358054280281,-0.0070924344472587,-0.0143537754192948,0.1313946558628231,0.0996801987010985,-9.794059905409814,1188161.0
1.31,0.3000000119209289,73.0,24.465070724487305,1.4631264209747314,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0103877801448106,-0.0109759550541639,0.0078999297693371,0.1062992559559643,0.0196114882081747,-9.797172963023186,1188161.0
1.51,0.3000000119209289,70.0,24.45630645751953,1.4631264209747314,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0125894797965884,0.0206513479351997,-0.0029828536789864,0.1265639969240874,0.062044969741255,-9.800975407361983,1188161.0
1.61,0.3000000119209289,69.0,24.46006202697754,1.4631264209747314,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0277488995343446,0.0065336558036506,-0.015021814033389,0.1311590222083032,0.0838028154987841,-9.788032010793687,1188161.0
